epoch,a_accuracy,a_f_0,a_f_1,a_loss,a_p_1,a_r_1,loss,main_accuracy,main_loss,val_a_accuracy,val_a_f_0,val_a_f_1,val_a_loss,val_a_p_1,val_a_r_1,val_loss,val_main_accuracy,val_main_loss
0,0.48987725,nan,0.6346244,1.1844528,0.47683015,0.97151023,7.521593172128703,0.0691854,5.9231586,0.532951295375824,0.330000102519989,0.6388572454452515,1.0433984994888306,0.4822427034378052,0.9544222354888916,6.54643425080701,0.06876790523529053,5.190013885498047
1,0.6271322,0.50915664,0.68917686,0.9650642,0.550579,0.93339986,6.159533958733034,0.12099474,4.889148,0.6590257883071899,0.5880684852600098,0.7058369517326355,0.9590966701507568,0.5669229626655579,0.9442165493965149,6.130236737707625,0.13896848261356354,4.882293701171875
2,0.71305597,0.66551286,0.7378772,0.8570724,0.61604565,0.92762536,5.635212778836066,0.19018014,4.513266,0.6934097409248352,0.6480774283409119,0.7242754697799683,0.9152734875679016,0.5945109128952026,0.9308397769927979,5.8011673309741525,0.203438401222229,4.609182357788086
3,0.75402516,nan,0.7790595,0.77962255,0.6654552,0.9462654,5.182719908931429,0.24151124,4.119118,0.7249283790588379,0.6941133141517639,0.7470707297325134,0.8905019164085388,0.6231899857521057,0.9373014569282532,5.516691509837066,0.24928367137908936,4.355438709259033
4,0.7672565,0.74089426,0.7768894,0.73983574,0.66640836,0.9397088,4.804496888754833,0.28327754,3.8148038,0.736389696598053,0.713407039642334,0.7528714537620544,0.879986047744751,0.6344335079193115,0.9303084015846252,5.297335825540275,0.29083094000816345,4.148847579956055
5,0.78096604,nan,0.78778255,0.72484463,0.6815621,0.94034505,4.519209346759078,0.31260958,3.5843623,0.7449856996536255,0.7269386649131775,0.758715808391571,0.8761579990386963,0.6440396904945374,0.9279963970184326,5.109517322911915,0.3094555735588074,3.965064287185669
6,0.79993623,nan,0.81139326,0.6763392,0.7097407,0.95320135,4.217865285359557,0.34337637,3.3082647,0.7435529828071594,0.7250465154647827,0.7577781081199646,0.8760685324668884,0.6429826617240906,0.9279963970184326,4.971326383956866,0.3366762101650238,3.826449394226074
7,0.8031245,0.7856404,0.80575985,0.6679064,0.7019422,0.9507807,4.0176107875946965,0.36824486,3.1163664,0.7478510141372681,0.7308509349822998,0.7611353397369385,0.8728317618370056,0.6467705965042114,0.9306702017784119,4.845601443916474,0.343839555978775,3.704622745513916
8,0.80360276,nan,0.8148159,0.66071415,0.7155348,0.95507735,3.8052089751365368,0.393751,2.9886074,0.7535816431045532,0.7412139773368835,0.7632313370704651,0.868303656578064,0.6556839942932129,0.9187147617340088,4.727710660344209,0.3581661880016327,3.592481851577759
9,0.80503744,nan,0.8173711,0.65392333,0.71554726,0.95888937,3.630910108254018,0.41798183,2.7967832,0.7521489858627319,0.739471435546875,0.7618404030799866,0.8819951415061951,0.6553447246551514,0.9160409569740295,4.676263524331473,0.3681948482990265,3.522357940673828
10,0.8115734,nan,0.8215972,0.6354235,0.721147,0.9608861,3.4741914132062126,0.43360433,2.6515386,0.7478510141372681,0.7309523224830627,0.7602130770683289,0.8699682354927063,0.648484468460083,0.9244998693466187,4.58739944583707,0.3882521390914917,3.448305368423462
11,0.81715286,nan,0.8271777,0.61227715,0.72953326,0.96092695,3.303222302498856,0.46437111,2.4869153,0.7550143003463745,0.741565465927124,0.7652307748794556,0.882688581943512,0.657403826713562,0.9213650226593018,4.574870080865899,0.40544411540031433,3.4188425540924072
12,0.82177585,0.81075895,0.8209295,0.61217844,0.7263902,0.94965786,3.1850564721505568,0.4702694,2.362166,0.7378223538398743,0.7159414887428284,0.7537161111831665,0.8905244469642639,0.6391345262527466,0.9249608516693115,4.518826781166317,0.406876802444458,3.352572441101074
13,0.8190658,0.80796975,0.8167708,0.5985688,0.72080755,0.9481814,3.05957026233537,0.48621073,2.2514915,0.7564470171928406,0.7421629428863525,0.7666173577308655,0.8944633603096008,0.6590742468833923,0.9218261241912842,4.491185432860366,0.4297994375228882,3.318843126296997
14,0.82257295,nan,0.8309647,0.59256876,0.7348956,0.9618341,2.945790038693375,0.49561614,2.1767287,0.7550143003463745,0.743051290512085,0.7639884352684021,0.9012331366539001,0.6580179333686829,0.9160409569740295,4.464410871352713,0.42406877875328064,3.283402442932129
15,0.8189064,nan,0.828652,0.59842163,0.7314788,0.96016055,2.864117863226522,0.5120357,2.0946023,0.7593123316764832,0.7490161657333374,0.7661784887313843,0.8924183249473572,0.664882242679596,0.9094097018241882,4.439476315134917,0.43409740924835205,3.269317865371704
16,0.82894945,nan,0.8358241,0.5784166,0.7413617,0.96231544,2.7312744311048864,0.52686113,1.9882822,0.7593123316764832,0.7481893301010132,0.7671144604682922,0.9045946598052979,0.6625546813011169,0.9160409569740295,4.43478657522994,0.4484240710735321,3.2485570907592773
17,0.832616,0.82346666,0.8302644,0.5810775,0.73854804,0.9526603,2.6741111012009102,0.5373824,1.8990828,0.7578796744346619,0.7442350387573242,0.7676069736480713,0.912628173828125,0.6607508063316345,0.9221878051757812,4.42417058698769,0.44269341230392456,3.226977586746216
18,0.82719594,nan,0.83453465,0.5775285,0.74168813,0.9593809,2.5847042759753633,0.55443966,1.8176492,0.7621776461601257,0.7511070370674133,0.769653856754303,0.9069868326187134,0.6649948954582214,0.9186912775039673,4.412442563256425,0.4398280680179596,3.2226080894470215
19,0.830703,nan,0.8386873,0.5686728,0.7466163,0.96355027,2.515879625864012,0.5522079,1.7557098,0.763610303401947,0.7517895102500916,0.7717317938804626,0.910128653049469,0.6663178205490112,0.9220582842826843,4.411084830931743,0.436962753534317,3.2166900634765625
20,0.83309424,0.8247375,0.82966894,0.5594292,0.73921555,0.950641,2.4329388661284246,0.57085925,1.6889848,0.7707736492156982,0.7627254128456116,0.7758472561836243,0.9272991418838501,0.6743768453598022,0.9186912775039673,4.4398848375140085,0.4484240710735321,3.222736358642578
21,0.8364419,nan,0.84377396,0.5566931,0.7516113,0.96753746,2.3940175783685493,0.5699028,1.6843797,0.7621776461601257,0.7504431009292603,0.7699635028839111,0.9275341629981995,0.6657733917236328,0.9185617566108704,4.44360670729148,0.45415472984313965,3.2256431579589844
22,0.84026784,nan,0.8461044,0.5501507,0.75749207,0.9630088,2.3140552504180856,0.58425,1.589667,0.763610303401947,0.7510412335395813,0.7719807028770447,0.9259662628173828,0.6668363213539124,0.9220582842826843,4.431011881732667,0.45272207260131836,3.2156760692596436
23,0.8321377,0.82005787,0.8313015,0.5580834,0.7359467,0.9597598,2.2737657002393243,0.5934959,1.5403033,0.769340991973877,0.7614023685455322,0.7741140723228455,0.9258981347084045,0.6731371879577637,0.915427029132843,4.44619657726889,0.46275070309638977,3.230072259902954
24,0.84058666,0.8321415,0.83639574,0.55180806,0.7462881,0.95664,2.2235108178667753,0.60704607,1.4847475,0.7593123316764832,0.7468343377113342,0.7677080035209656,0.9391902685165405,0.6622388362884521,0.9185617566108704,4.449384433833781,0.4613180458545685,3.216139316558838
25,0.83851427,0.83169484,0.83317095,0.53803533,0.7415527,0.95520115,2.147777450174003,0.61900204,1.4372715,0.7779369354248047,0.7714042067527771,0.7813640832901001,0.943645715713501,0.682312548160553,0.9185617566108704,4.450284676428852,0.46275070309638977,3.211101770401001
26,0.8413837,nan,0.84591126,0.526088,0.7576617,0.96394,2.093201217441568,0.6140603,1.4004802,0.7707736492156982,0.7631364464759827,0.7758592367172241,0.9432733654975891,0.6760574579238892,0.915427029132843,4.462029513110404,0.4613180458545685,3.2233827114105225
27,0.8442531,nan,0.8391765,0.55905986,0.7510987,0.955887,2.0594961487769927,0.6309581,1.4041611,0.7621776461601257,0.7506015300750732,0.7697551250457764,0.9557247757911682,0.6652601361274719,0.9185617566108704,4.486828573795307,0.467048704624176,3.2312958240509033
28,0.83006537,nan,0.82974714,0.55651516,0.73312485,0.96087456,2.051051993471155,0.6296828,1.3383521,0.7679083347320557,0.757390022277832,0.7743949294090271,0.9655555486679077,0.6700599193572998,0.9220582842826843,4.516089131292436,0.467048704624176,3.2483038902282715
29,0.847282,nan,0.85262376,0.5281749,0.7646085,0.9698015,1.9828752425799012,0.6405229,1.3004928,0.7664756178855896,0.7559736371040344,0.7733176946640015,0.9633476734161377,0.6684288382530212,0.9216966032981873,4.5091076184138865,0.46418339014053345,3.2435007095336914
30,0.84202135,0.8330543,0.8384389,0.5136244,0.7465831,0.96128184,1.9279029666379786,0.6432329,1.2512352,0.7707736492156982,0.7620565295219421,0.776043176651001,0.9742975831031799,0.674413800239563,0.9185617566108704,4.546680827537034,0.4570200443267822,3.2665069103240967
31,0.8463255,nan,0.8508028,0.5170741,0.7652883,0.96187294,1.9167836942817917,0.6507253,1.2266681,0.7664756178855896,0.7555081844329834,0.7731853127479553,0.9555767178535461,0.6701517701148987,0.9185617566108704,4.537657502729093,0.4713467061519623,3.28193736076355
32,0.84744143,nan,0.85137683,0.5079374,0.76149464,0.97136533,1.8853742004334024,0.6583772,1.2225742,0.7779369354248047,0.7723773717880249,0.7802371382713318,0.9747774600982666,0.6840102076530457,0.9116982817649841,4.5457180632561185,0.4713467061519623,3.265155076980591
33,0.8506297,nan,0.8451094,0.5107789,0.75903195,0.95789915,1.851421102161672,0.6563048,1.2226651,0.769340991973877,0.7623334527015686,0.7733461856842041,0.9937713146209717,0.6735255718231201,0.9115687012672424,4.595035348034179,0.46561604738235474,3.289365530014038
34,0.8531803,nan,0.856679,0.51112515,0.7730426,0.9650808,1.8390598239015776,0.6681014,1.1577502,0.7722063064575195,0.7637714147567749,0.7772014141082764,0.9733372330665588,0.6763118505477905,0.9185617566108704,4.567668056078149,0.46275070309638977,3.288796901702881
35,0.8522238,nan,0.8465479,0.52982104,0.760307,0.9601257,1.7805979052324263,0.67957914,1.1296496,0.7736389636993408,0.767265260219574,0.777064323425293,0.9858903884887695,0.6802564859390259,0.9114288687705994,4.601381530734393,0.4684813618659973,3.3059046268463135
36,0.85126734,0.8465334,0.8447432,0.49468875,0.7595184,0.95582366,1.7598093432443631,0.6851586,1.100746,0.7750716209411621,0.7674707770347595,0.7801552414894104,0.9954551458358765,0.679598331451416,0.9220582842826843,4.627003615770094,0.4613180458545685,3.31899094581604
37,0.8578033,0.85401607,0.8502149,0.48271197,0.76564336,0.96191067,1.7291953721609714,0.68085444,1.0923184,0.7736389636993408,0.76706463098526,0.7775108218193054,1.0155940055847168,0.6787480115890503,0.9150652289390564,4.66106997110099,0.469914048910141,3.326409339904785
38,0.85636854,nan,0.85986793,0.47855777,0.7757438,0.9686739,1.7092313968297228,0.6805356,1.103715,0.7750716209411621,0.7685042023658752,0.7787111401557922,1.0090463161468506,0.6804205179214478,0.9150652289390564,4.663065156144194,0.4684813618659973,3.3373308181762695
39,0.8552527,nan,0.8490959,0.50402087,0.76372135,0.9598647,1.7136955277953596,0.6835645,1.0678684,0.7736389636993408,0.7672359943389893,0.7772583365440369,1.0084033012390137,0.6777670979499817,0.9151947498321533,4.667246604717222,0.4613180458545685,3.3419504165649414
40,0.85844094,nan,0.85167193,0.4983196,0.76883405,0.9592401,1.6904753927938982,0.694564,1.0954,0.7722063064575195,0.7664245367050171,0.7752897143363953,1.0249264240264893,0.6785616278648376,0.9083312749862671,4.695030164581999,0.46275070309638977,3.34844970703125
41,0.8578033,nan,0.85971934,0.48044512,0.7776883,0.9653746,1.671790554930073,0.691854,1.0310248,0.769340991973877,0.7604306936264038,0.774566650390625,1.016287922859192,0.6746643781661987,0.9150652289390564,4.691244642509089,0.46561604738235474,3.3556032180786133
42,0.8601945,nan,0.86365473,0.47691792,0.78195065,0.96885186,1.6389269168945508,0.70237523,1.0031766,0.7750716209411621,0.7682151794433594,0.7790554165840149,1.0203992128372192,0.6811388731002808,0.9150652289390564,4.717330269280683,0.4570200443267822,3.3760826587677
43,0.8578033,nan,0.8607727,0.47064665,0.776364,0.9701726,1.6217661281569868,0.7050853,0.9940677,0.7822349667549133,0.7777698636054993,0.7840942740440369,1.0226296186447144,0.6883642077445984,0.9150652289390564,4.730349223729874,0.467048704624176,3.3863141536712646
44,0.86258566,0.8584201,0.8553446,0.46930525,0.7741169,0.9595598,1.6100550601114862,0.7020564,0.9885635,0.7707736492156982,0.7646027207374573,0.7738502025604248,1.0375945568084717,0.6768651604652405,0.9080619215965271,4.7598426294190155,0.46418339014053345,3.396747350692749
45,0.86210746,nan,0.86473525,0.47345856,0.78213024,0.9712817,1.5752432900107536,0.7090706,0.9662095,0.7736389636993408,0.7675297260284424,0.7767186760902405,1.0434832572937012,0.6797189116477966,0.9116982817649841,4.778340330096576,0.4684813618659973,3.4075927734375
46,0.856528,0.8512224,0.8503897,0.471915,0.76499605,0.96191883,1.5842385641528567,0.70683885,0.9707132,0.7779369354248047,0.773045539855957,0.7800744771957397,1.0448552370071411,0.6843737363815308,0.9116982817649841,4.788113703358823,0.4570200443267822,3.4155759811401367
47,0.86800575,0.86457586,0.8603377,0.4506114,0.7806956,0.9616657,1.5538748914918394,0.70604175,1.0015202,0.7750716209411621,0.7699772119522095,0.7775201797485352,1.0496246814727783,0.6808337569236755,0.9116982817649841,4.800112843171915,0.4598853886127472,3.4211883544921875
48,0.8629045,nan,0.8653247,0.46161556,0.78293264,0.97072136,1.5615919320117377,0.7090706,0.9468104,0.7722063064575195,0.7673363089561462,0.7740415930747986,1.0469151735305786,0.6792480945587158,0.9045653939247131,4.797527715606471,0.46561604738235474,3.422017812728882
49,0.8724693,nan,0.8732115,0.44464585,0.7958231,0.9727651,1.5055168572271078,0.7156066,0.9207896,0.7750716209411621,0.7698274254798889,0.7779178619384766,1.0483403205871582,0.6817290782928467,0.9116982817649841,4.809688759396616,0.45558738708496094,3.4327430725097656
50,0.86593336,nan,0.8677154,0.44851005,0.7889049,0.9687319,1.5176968024086006,0.71576595,0.9245763,0.7679083347320557,0.7601756453514099,0.7725270986557007,1.0487200021743774,0.673363447189331,0.9116982817649841,4.824011752120403,0.45415472984313965,3.4469258785247803
51,0.8678463,0.8658971,0.8594412,0.44486326,0.77903765,0.96254593,1.5055137284535949,0.7218237,0.9133617,0.7736389636993408,0.7675724625587463,0.7763499617576599,1.058678388595581,0.6806647181510925,0.9080619215965271,4.847641841729938,0.4613180458545685,3.456568956375122
52,0.87310696,0.87170064,0.86416274,0.4259731,0.7868312,0.96400803,1.4527454669160476,0.72246134,0.8903275,0.7793696522712708,0.7759198546409607,0.7810645699501038,1.076682209968567,0.6858936548233032,0.9116982817649841,4.899006556644823,0.45415472984313965,3.4841878414154053
53,0.86593336,0.8636183,0.8575474,0.44389045,0.7778113,0.9606081,1.4836427345242433,0.7251714,0.91062355,0.7736389636993408,0.7688833475112915,0.775946855545044,1.0928977727890015,0.6799607872962952,0.9083312749862671,4.929835786108984,0.4498567283153534,3.4940950870513916
54,0.86545515,0.8632409,0.85713124,0.44393042,0.7781101,0.9590788,1.4875473568948494,0.71576595,0.8968764,0.7750716209411621,0.7696504592895508,0.7776155471801758,1.078853964805603,0.680696427822113,0.9116982817649841,4.919507975564645,0.4469914138317108,3.502675771713257
55,0.87151283,nan,0.8716133,0.42839444,0.7940476,0.9704408,1.4351693518886188,0.73091024,0.86670583,0.7722063064575195,0.7673482298851013,0.7741110324859619,1.0991237163543701,0.6793428659439087,0.9045653939247131,4.946236752507338,0.4598853886127472,3.5029854774475098
56,0.87055635,nan,0.871484,0.43081808,0.79406536,0.9706777,1.430526091311131,0.732345,0.85851073,0.7750716209411621,0.7693282961845398,0.7788150310516357,1.0955029726028442,0.6809449195861816,0.9151947498321533,4.950040764658362,0.4584527313709259,3.5111429691314697
57,0.8652957,0.8623916,0.85785234,0.4349034,0.77958834,0.9578574,1.428546486831293,0.72740316,0.8540771,0.7793696522712708,0.7755818963050842,0.7805072665214539,1.0932486057281494,0.6868765354156494,0.9080619215965271,4.956150697090564,0.4584527313709259,3.520277261734009
58,0.8745417,0.8726394,0.86587113,0.4221034,0.7897045,0.9618242,1.4238122833626803,0.73218554,0.860988,0.7722063064575195,0.7680776715278625,0.7735592126846313,1.0935136079788208,0.6798138618469238,0.9010688662528992,4.963289718573278,0.4570200443267822,3.5271482467651367
59,0.8791647,nan,0.8702172,0.4326014,0.79597104,0.9640442,1.3865533272235298,0.7293161,0.8420505,0.7879655957221985,0.7874386310577393,0.7866745591163635,1.1215620040893555,0.698171079158783,0.9045653939247131,5.014135965986716,0.46418339014053345,3.541525363922119
60,0.8839471,0.8841084,0.87296396,0.40897453,0.8036955,0.95833635,1.3811816480025594,0.73457676,0.8432368,0.7736389636993408,0.7684284448623657,0.775874674320221,1.1002918481826782,0.6790981888771057,0.9080619215965271,5.000499273097959,0.45415472984313965,3.5553946495056152
61,0.8772517,nan,0.8780194,0.41437316,0.8020508,0.973033,1.3757766007084833,0.73840266,0.8373489,0.7836676239967346,0.7810108661651611,0.7834365367889404,1.1015074253082275,0.690706193447113,0.9079220294952393,4.994168427748803,0.4598853886127472,3.54721999168396
62,0.8786864,nan,0.8792241,0.40953493,0.80336183,0.9758304,1.3605804545598492,0.73919976,0.8407317,0.7793696522712708,0.7772800326347351,0.779263436794281,1.1247292757034302,0.6886183023452759,0.9011983871459961,5.0378230390029515,0.46275070309638977,3.560526132583618
63,0.87757057,0.875668,0.8682172,0.41407505,0.7951932,0.9603143,1.3678587571810292,0.74190974,0.8168909,0.7765042781829834,0.772052526473999,0.7782201766967773,1.128191590309143,0.6823861598968506,0.9080619215965271,5.04769040930237,0.469914048910141,3.565676212310791
64,0.87661403,nan,0.87584156,0.41470596,0.8020028,0.9701072,1.3531938205431109,0.74047506,0.80165154,0.7779369354248047,0.7760838866233826,0.7779691219329834,1.1539727449417114,0.686694324016571,0.9011983871459961,5.091488506185974,0.46418339014053345,3.576080322265625
65,0.8793241,nan,0.8803187,0.41147774,0.8070896,0.97181,1.3464772861107066,0.7407939,0.79956126,0.7793696522712708,0.7756810784339905,0.7803452014923096,1.1462031602859497,0.6862329244613647,0.9079220294952393,5.091255312321179,0.467048704624176,3.5859267711639404
66,0.88570064,nan,0.88492197,0.39657545,0.812632,0.97494715,1.314485861401194,0.7487646,0.78590363,0.7750716209411621,0.7723323702812195,0.7751493453979492,1.158219814300537,0.6839067339897156,0.8987699151039124,5.12778618137611,0.4613180458545685,3.607362985610962
67,0.885063,nan,0.8838289,0.40309736,0.8126027,0.9739488,1.314695006330561,0.74972105,0.79020554,0.7722063064575195,0.7692983746528625,0.7729738354682922,1.1486414670944214,0.6809835433959961,0.8987699151039124,5.109974698555845,0.4584527313709259,3.601909875869751
68,0.88044,0.88005507,0.8703445,0.402922,0.7978263,0.96151465,1.3100832503377469,0.7549817,0.7816723,0.7822349667549133,0.7819198966026306,0.7807260751724243,1.1566725969314575,0.6937034130096436,0.8975400328636169,5.133017059041983,0.45272207260131836,3.6149728298187256
69,0.8829906,nan,0.8730569,0.4079648,0.80076367,0.9637548,1.3038421634204,0.74732983,0.792023,0.7879655957221985,0.7897359728813171,0.7838817834854126,1.1697200536727905,0.703144907951355,0.8905366659164429,5.170475683786124,0.4570200443267822,3.635411024093628
70,0.88362825,nan,0.8822435,0.4011017,0.8118401,0.9704843,1.3041784710886375,0.742388,0.7948141,0.7836676239967346,0.7870216965675354,0.7774391770362854,1.1778744459152222,0.6999781727790833,0.877467155456543,5.19931385168715,0.45272207260131836,3.6531178951263428
71,0.88474417,0.88252497,0.8752779,0.39145413,0.80278355,0.96532315,1.2823318512687154,0.7503587,0.79587716,0.7765042781829834,0.775054395198822,0.7754967212677002,1.1702942848205566,0.6866812705993652,0.8952733874320984,5.203249234524702,0.4570200443267822,3.6673097610473633
