epoch,a_accuracy,a_f_0,a_f_1,a_loss,a_p_1,a_r_1,loss,main_accuracy,main_loss,val_a_accuracy,val_a_f_0,val_a_f_1,val_a_loss,val_a_p_1,val_a_r_1,val_loss,val_main_accuracy,val_main_loss
0,0.49003667,nan,0.63357246,1.1933876,0.47579288,0.9716445,7.536853450727714,0.06264945,5.974921,0.5616045594215393,0.36480921506881714,0.6599082350730896,1.0416167974472046,0.5084947943687439,0.9499145150184631,6.310198020115282,0.11461318284273148,4.9540934562683105
1,0.6264945,nan,0.69841766,0.9804386,0.55819535,0.9463121,6.202643998175095,0.1157341,4.9751363,0.6805157661437988,0.624189019203186,0.7164624929428101,0.9491037726402283,0.596440315246582,0.9035411477088928,5.84186234515171,0.1719197779893875,4.6065216064453125
2,0.71433127,nan,0.74925333,0.8676639,0.6276406,0.93769205,5.671644504230292,0.19081779,4.569835,0.7249283790588379,0.6924172043800354,0.7444456219673157,0.8949090838432312,0.6377302408218384,0.8981267809867859,5.47063380735993,0.2765043079853058,4.305875778198242
3,0.74398214,0.7128887,0.7591482,0.7978644,0.6432563,0.93417394,5.243704092040808,0.24007651,4.1664667,0.7406876683235168,0.717818021774292,0.7531089782714844,0.861952006816864,0.6540365815162659,0.8919063806533813,5.192431865243994,0.2979942560195923,4.070417881011963
4,0.7655029,nan,0.78447956,0.7746432,0.6736528,0.9479594,4.871810759537227,0.27913278,3.9110484,0.7650429606437683,0.7455171942710876,0.776078462600708,0.8426542282104492,0.6766687631607056,0.9157726168632507,4.961089639745674,0.32234957814216614,3.86464524269104
5,0.76454645,nan,0.78567857,0.7420316,0.674399,0.94993216,4.5809971401799,0.30687073,3.614143,0.7578796744346619,0.7324209213256836,0.7733171582221985,0.8225918412208557,0.6653255820274353,0.927666425704956,4.776312224161318,0.3452722132205963,3.7055444717407227
6,0.78590786,nan,0.801122,0.69237405,0.69382554,0.95683414,4.295719921617403,0.33699983,3.3941028,0.7650429606437683,0.7480880618095398,0.7741239666938782,0.8278858661651611,0.679110586643219,0.9043371081352234,4.637661433834743,0.3767908215522766,3.5603432655334473
7,0.792922,nan,0.80544543,0.6800463,0.7025033,0.94951254,4.061756212812433,0.36537543,3.139778,0.7550143003463745,0.7313976287841797,0.7687222957611084,0.8149741888046265,0.6645400524139404,0.917035698890686,4.520339628345304,0.38395416736602783,3.459735631942749
8,0.8008927,nan,0.8032489,0.6703943,0.7001047,0.94776386,3.8464988296195,0.39199746,2.9837825,0.7707736492156982,0.7531945705413818,0.7798846960067749,0.818131685256958,0.68274986743927,0.9139009118080139,4.4210466723729,0.4111747741699219,3.3558104038238525
9,0.8059939,nan,0.8166378,0.66206264,0.7188527,0.9512907,3.6943038089526588,0.40873584,2.8193367,0.763610303401947,0.7396533489227295,0.7778246402740479,0.8059329986572266,0.6713995337486267,0.9312849044799805,4.342643987825061,0.4183381199836731,3.2934653759002686
