epoch,a_acc,a_f_0,a_f_1,a_loss,a_p_1,a_r_1,loss,main_acc,main_loss,val_a_acc,val_a_f_0,val_a_f_1,val_a_loss,val_a_p_1,val_a_r_1,val_loss,val_main_acc,val_main_loss
0,0.48955842499601465,nan,0.6298556167429835,1.1917678172292272,0.46983669736483025,0.9724552228122774,7.545375947117634,0.0714171847600829,5.996077852843577,0.580229227898114,0.3901558645646005,0.6764827676352252,1.0395055780438092,0.5296830312058031,0.945099445844448,6.595799369593404,0.11174785098151696,5.244442133643907
1,0.6256974334449227,nan,0.6922559161971445,0.9735394422657919,0.5512135981677272,0.942479633931507,6.1741623461160975,0.12386417981826878,4.908561139324911,0.7005730670980874,0.6297293044093003,0.7436898091119477,0.9210254124720664,0.621730190805856,0.9326284408227762,6.111938975260387,0.13753581674700138,4.9146058812182405
2,0.7087517934002869,nan,0.7419612579856518,0.8704085656183864,0.6180861084042754,0.9409650835754502,5.656827199635809,0.19209309740156225,4.525296110751886,0.7378223505949223,0.6974025003206422,0.7646178377733531,0.874007405046064,0.6586599681302264,0.9171216996829625,5.7518707988596915,0.21776504293724597,4.61566119754212
3,0.7427068388330942,0.7092022183559812,0.7631598815723373,0.8096283134266024,0.6480667519261539,0.9379025159337466,5.240147237247131,0.23338115734098516,4.187630451943683,0.7636103143323116,0.7313193222854746,0.7834980030114467,0.8387990419707531,0.6867896627560044,0.9170004163567179,5.4796371692231185,0.265042980497751,4.389198489038855
4,0.7604017216642754,nan,0.7765591769018527,0.7641201321063535,0.6648705569291141,0.9424771619493,4.888885730650367,0.27658217758648174,3.895529587455444,0.7736389708723926,0.7392327812817855,0.7954259101504241,0.8150856184071319,0.6877291002724437,0.9466524785090996,5.206890555712419,0.28653295090512765,4.147279334956391
5,0.765662362505978,nan,0.7830835546429374,0.7550442153788366,0.6713331494056949,0.9449419878742711,4.610263132353481,0.30671130240714173,3.6287056967228883,0.7865329536804155,0.7563041417851489,0.8051111149924532,0.8008628465384672,0.7014939325586773,0.9472801273736707,4.992072127268444,0.3065902584347137,3.9509504039513006
6,0.7812848716722461,nan,0.7954599066402436,0.7203882136295311,0.6866435198888013,0.9507298693785385,4.32186174947604,0.33540570699824646,3.3853571045898505,0.7893982831933095,0.7599025185948457,0.8073951053756014,0.7869829392023278,0.7050716694241609,0.9474829102313963,4.825983621329496,0.33667621738077236,3.8029057822459746
7,0.7921249800733301,nan,0.8029755303948267,0.6900329070096568,0.6983548965101396,0.9507376860720906,4.066798051274338,0.36665072533078275,3.1697553030786647,0.7779369618967816,0.7403517867569254,0.8005926294791322,0.7786974958157471,0.689746003779436,0.9565373483223355,4.679907230388127,0.3595988545513426,3.6676005429046543
8,0.7926032201498485,0.7721983202522724,0.8047148888331176,0.6865113565801301,0.6983344608491143,0.9559608379201647,3.875773245099057,0.3900844890801849,2.983308507022952,0.785100287386886,0.7549357470605298,0.8036090547170885,0.776084800845914,0.7012899757114728,0.9439563483085195,4.573494545026632,0.37822349467728406,3.5645842463375845
9,0.7988203411445879,nan,0.8083059030268611,0.6564476899024727,0.7050337886460637,0.9541136001107721,3.6518971084237157,0.41112705244699504,2.7985151420269747,0.7908309479497565,0.7640931742922283,0.8072312177081504,0.7780650891683847,0.7064625812123362,0.9435961299434432,4.492621145822257,0.38825214874095426,3.481136575469315
10,0.803921568627451,nan,0.811175036388551,0.6597012409691831,0.7113822512548353,0.9501227195346905,3.517447122827436,0.43679260322014984,2.6598355400016884,0.7922636127062035,0.7670114996781664,0.8082389754688842,0.7693205323806807,0.7070439017263046,0.9464614594563372,4.414082667889089,0.4083094553312121,3.4139660074239475
11,0.8050374621393273,0.7906223134752781,0.8133576063377785,0.6455052435949205,0.7124680656385672,0.9536244966910441,3.3614914592479606,0.4597481268930336,2.5223346807047187,0.7922636109983341,0.7682824028938753,0.8073442387034353,0.7630406076723661,0.7104896045687547,0.9378654709176553,4.343967965134236,0.426934097165023,3.3520152719109655
12,0.8139646102343376,0.8005101991273675,0.8212577178872374,0.6262827627343005,0.7198527333232065,0.9603898279332058,3.2052143945774545,0.4701099952175992,2.3910468251401493,0.8080229248563334,0.7887060362151838,0.819265964038051,0.7748953749593828,0.7285392885563367,0.9378654709176553,4.31528547636759,0.42263610289568204,3.3079215236926145
13,0.8144428503108561,nan,0.8220302314825193,0.6166899512016696,0.7235642835585747,0.9565862646213886,3.0842403010016097,0.4839789574366332,2.2825433810361924,0.8022922625855935,0.7830982051127962,0.8137776332461731,0.7849543945154009,0.7253275493154553,0.9294332137763671,4.2885920639365995,0.436962750460152,3.2681513925678067
