epoch,a_accuracy,a_f_0,a_f_1,a_loss,a_p_1,a_r_1,loss,main_accuracy,main_loss,val_a_accuracy,val_a_f_0,val_a_f_1,val_a_loss,val_a_p_1,val_a_r_1,val_loss,val_main_accuracy,val_main_loss
0,0.49115255,nan,0.63330233,1.178215,0.47535932,0.9695103,7.457278865006634,0.07922844,5.9002247,0.5472779273986816,0.2694398760795593,0.6687312126159668,1.0164005756378174,0.5128751397132874,0.9665808081626892,6.462690522814207,0.08309455215930939,5.140919208526611
1,0.630161,nan,0.688035,0.971376,0.55006343,0.93124723,6.170609583034482,0.12434242,4.9754705,0.7091690301895142,0.6295946836471558,0.7545519471168518,0.9276912212371826,0.6299883127212524,0.9444828033447266,6.0497893303376555,0.14613179862499237,4.845869064331055
2,0.71178067,nan,0.7342043,0.87775034,0.6145839,0.91807276,5.664032579285475,0.19480312,4.520836,0.7292263507843018,0.6650627851486206,0.7675251364707947,0.8651434183120728,0.6477375030517578,0.9455581307411194,5.681781919091343,0.21633237600326538,4.55958890914917
3,0.74972105,nan,0.77268195,0.8060827,0.6592858,0.94088197,5.254013789777606,0.23896062,4.1930246,0.7435529828071594,0.6906299591064453,0.774705708026886,0.8403466939926147,0.6663221716880798,0.9297101497650146,5.4134465247648835,0.2435530126094818,4.324122905731201
4,0.7656624,nan,0.7835149,0.7558344,0.6744616,0.94176054,4.8872233822872895,0.2792922,3.896492,0.7507163286209106,0.6999850869178772,0.7805314660072327,0.8250465393066406,0.6729707717895508,0.933724045753479,5.181647246068391,0.2736389636993408,4.112288475036621
